institution,location,size,focus,research,age,QS2023 Academic Reputation,QS2023 Employer Reputation,QS2023 Faculty Student Ratio,QS2023 Citations per Faculty,QS2023 International Faculty Ratio,QS2023 International Student Ratio,QS2023 International Research Network,QS2023 Employment Outcomes,QS2022 Academic Reputation,QS2022 Employer Reputation,QS2022 Faculty Student Ratio,QS2022 Citations per Faculty,QS2022 International Faculty Ratio,QS2022 International Student Ratio,THE2020 Teaching,THE2020 International,THE2020 Research,THE2020 Citations,THE2020 Income,THE2020 Overall Score,Number of Students,Student Staff Ratio,International Student Proportion
Bielefeld University,Germany,12000-30000 Students,Comprehensive,Very High,50-99 Years,13.7,3.1,9.2,8.7,22.8,8.6,63.9,4,14.2,3,10,10.6,9.7,9.1,36.1,48.6,42.7,91.1,59.4,56.1,24875,77.5,0.08
Bina Nusantara University (BINUS),Indonesia,12000-30000 Students,Comprehensive,High,25-49 Years,9.2,11.8,22.2,1.7,17.5,4.3,8.7,29.9,9.8,9.7,22.3,1.5,4.8,4.5,,,,,,,,,
Binghamton University SUNY,United States,12000-30000 Students,Comprehensive,Very High,50-99 Years,6.3,8,5.9,20.6,9.5,10.6,23.1,10.1,7.4,8.6,6.2,22.9,2.6,17.4,,,,,,,,,
"Birla Institute of Technology and Science, Pilani",India,12000-30000 Students,Comprehensive,Very High,100+ Years,7.4,16.6,6.8,17.5,1.4,2.5,42.1,57.1,7,12.9,7.6,19.6,1.1,2.3,19.7,16.4,10.9,30.8,35.3,20.5,13535,17.4,0.01
Birmingham City University ,United Kingdom,12000-30000 Students,Comprehensive,High,25-49 Years,5,4.3,8.4,3,42.2,80.4,28.9,7.9,5,6.1,10.1,2.9,20.9,74.9,,,,,,,,,
BRAC University,Bangladesh,12000-30000 Students,Comprehensive,Medium,10-24 Years,9.1,20.3,16.9,1.7,2.8,2,13.1,24.5,7.8,18.3,23.4,1.6,1.2,2,,,,,,,,,
Brigham Young University,United States,>30000 Students,Comprehensive,Very High,100+ Years,6.8,7.8,4.5,15.6,1.1,3.5,62.5,37.4,7.5,9.1,4.8,17.4,1,3.9,,,,,,,,,
Brock University,Canada,12000-30000 Students,Comprehensive,High,50-99 Years,3.2,11.3,2.6,19.3,2.4,20.6,32.9,7.2,3.1,10.9,2.6,23.9,1.2,21.7,,,,,,,,,
Canterbury Christ Church University,United Kingdom,12000-30000 Students,Comprehensive,High,50-99 Years,5.9,1.7,7.8,4.3,34.5,38.9,12.2,4.2,6.8,2,10,3.9,18.3,25.9,16.4,42.4,11.3,20.1,34.4,18.4,11386,16.9,0.12
Chungbuk National University,South Korea,12000-30000 Students,Fully Comprehensive,High,50-99 Years,3.7,2.8,30.5,8,7.8,5.8,29.6,3.7,3.8,3,28.4,7.9,2.1,6.5,,,,,,,,,
COMSATS University Islamabad,Pakistan,>30000 Students,Comprehensive,Very High,10-24 Years,9.4,23.6,13.7,9,1.7,1.8,80.4,10.6,8.9,17.9,12.8,11.3,1.2,1.7,16.9,45.7,9.9,65.5,34.5,32,33030,11.4,0.01
    Corvinus University of Budapest,Hungary,5000-12000 Students,Focused,High,100+ Years,11,17.2,4.7,3.3,8.7,40,16.4,16.9,11,20.1,4.4,4,2.5,45.8,17.8,44.7,13.7,23.6,34.4,20.7,11023,23.2,0.15
Doshisha University,Japan,12000-30000 Students,Comprehensive,High,100+ Years,8,15.7,5.8,2.1,20.8,4.3,12.3,14.8,8.6,15,6,2.3,8.3,4.4,15.6,27.6,9.8,7.7,35.7,12.9,28309,18.8,0.04
Escuela Politécnica Nacional,Ecuador,5000-12000 Students,Specialist,High,100+ Years,5.9,9.8,20.6,3.5,8.2,1.8,21.3,19.4,5.7,9.3,27.5,3,2.6,1.6,,,,,,,,,
Escuela Superior Politécnica del Litoral (ESPOL),Ecuador,5000-12000 Students,Focused,Very High,50-99 Years,11.2,15.3,17.6,2.5,14.6,1.6,26.6,16,9.5,13.6,15.6,2.3,7.2,1.6,,,,,,,,,
Financial University under the Government of the Russian Federation,Russia,12000-30000 Students,Focused,High,100+ Years,4.6,6.8,34.3,1.5,2.4,7.6,10.2,35.6,4,6.3,42.2,1.6,1.1,7.3,,,,,,,,,
Fordham University ,United States,12000-30000 Students,Comprehensive,High,100+ Years,6.1,9.7,17.1,6.6,8.5,15.6,34.8,42.9,6.7,10.9,20.1,7.5,3.4,25.8,,,,,,,,,
Gazi Üniversitesi,Turkey,>30000 Students,Fully Comprehensive,High,50-99 Years,13.7,10.1,5.1,4.7,1.1,1.9,46.5,14.2,11.1,7.9,4.7,3.9,1.3,2.9,,,,,,,,,
George Mason University,United States,12000-30000 Students,Comprehensive,Very High,50-99 Years,8.8,7.1,11.9,12.7,9.4,10,58.6,18.7,9.2,8,11.2,16.3,2.8,13.1,29.9,46.2,26.3,89.5,35.8,48.1,29377,18,0.1
Glasgow Caledonian University,United Kingdom,12000-30000 Students,Focused,High,25-49 Years,4.4,5,4.8,7.1,33,40,36.8,5.4,4.6,6.4,5.5,9.2,17.6,44,15.7,61.1,12.2,56.2,35.2,30.7,12637,19.9,0.17
Harper Adams University,United Kingdom,<5000 Students,Comprehensive,High,10-24 Years,4.1,19.8,5.9,11.8,28.8,17.6,11.4,4,3.9,21.5,7.1,10.3,11.3,15.5,,,,,,,,,
Imam Mohammad Ibn Saud Islamic University – IMSIU,Saudi Arabia,>30000 Students,Focused,High,50-99 Years,7,2.5,13.4,1.5,47.3,5.4,31.8,3.7,4.7,2.7,11.8,1.4,27,13.4,,,,,,,,,
Istanbul Aydin University  ,Turkey,12000-30000 Students,Comprehensive,Medium,10-24 Years,3.1,2.9,13.3,1.4,10.5,53,4.3,9.8,3.2,2.8,14.4,1.4,3.4,55.3,,,,,,,,,
Ivan Franko National University of Lviv,Ukraine,12000-30000 Students,Comprehensive,High,100+ Years,2.3,5.8,35.7,1.5,1.4,2.1,20.4,11.5,1,5.7,35.4,1.5,1.1,2,21.6,36.6,7.9,4.3,34.4,13.7,16220,8.6,0.01
Jeju National University ,South Korea,5000-12000 Students,Fully Comprehensive,High,50-99 Years,3.2,1.9,26,5.1,2.7,6.2,19.2,4.2,3.2,2,24.9,3.5,1.3,6.2,,,,,,,,,
Kangwon National University ,South Korea,12000-30000 Students,Fully Comprehensive,High,10-24 Years,4,5,18.1,10.9,4.4,2.9,27.9,3.5,4,4.6,17,12.2,1.8,2.9,,,,,,,,,
Kazakh Ablai Khan University of International Relations and World Languages,Kazakhstan,5000-12000 Students,Specialist,Low,50-99 Years,5.5,6.6,30.8,1,7.1,4.3,,19.2,5.5,5.1,38.8,1,2.1,4.6,,,,,,,,,
Kazan National Research Technological University,Russia,12000-30000 Students,Focused,High,100+ Years,3.3,3.5,27.5,1.5,2,37.5,5.1,3.8,3.1,3.3,34.2,1.7,1.1,43.7,17.8,25.2,8.4,10.5,49,14.1,15260,10.7,0.11
Kent State University,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,6,5,6.5,18.7,21.4,5.4,52.3,10.3,6.3,5.4,7.2,26.1,6.5,7.3,23.6,42.6,19,55.6,34.8,33.5,24559,20.4,0.09
Kookmin University ,South Korea,12000-30000 Students,Comprehensive,High,50-99 Years,3.5,3.7,27,3.7,6.5,26.4,8.5,3.6,3.8,3.7,25.2,4.3,2,28.7,,,,,,,,,
Kuwait University,Kuwait,12000-30000 Students,Fully Comprehensive,High,50-99 Years,13.3,7.7,5.7,2.9,25.8,24.1,52,62.7,11.8,6.9,5.1,3.4,19.3,28.4,19.1,69.9,9.9,31.7,37.4,24.4,36551,23.6,0.15
Kyoto Institute of Technology,Japan,<5000 Students,Focused,Very High,50-99 Years,6,4.2,19.8,13.5,9.6,4.4,12.3,6.4,6.4,4.2,20.8,14.7,2.5,12.8,21.5,22.1,15.9,10.3,41.3,17,3989,13,0.05
Kyushu Institute of Technology ,Japan,5000-12000 Students,Focused,Very High,100+ Years,4.2,4.6,12.1,23.7,10.4,5.7,20.7,5.4,4.7,4.5,13.4,26,3.8,5.6,,,,,,,,,
Leeds Beckett University,United Kingdom,12000-30000 Students,Comprehensive,High,25-49 Years,4,12.4,5.6,6.9,29.1,20.8,19.4,4.5,4.6,12.2,6.9,6.2,23.6,11.2,16.6,49.8,13.9,39.5,35,25.6,19726,19.5,0.12
Marquette University,United States,5000-12000 Students,Comprehensive,Very High,100+ Years,3,4.4,25.5,8.9,5.5,2.9,21.2,22.5,3.3,4.7,25.8,8.1,2,3.6,36,24.6,14.4,34.3,36.3,28.2,10472,12,0.04
Mendeleev University of Chemical Technology,Russia,5000-12000 Students,Focused,Very High,100+ Years,3.7,3.6,37.5,2.5,1.1,6.4,9.7,16.3,3.5,3.2,46,2.3,1,6.7,,,,,,,,,
Mississippi State University,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,5.5,8.6,8.1,17.1,10.4,3.3,53.2,9.9,5.6,9.3,10.2,20.9,3.4,3.9,21.8,25.9,15.8,43.6,40.3,27.3,26121,19,0.03
Multimedia University (MMU),Malaysia,5000-12000 Students,Specialist,Very High,25-49 Years,7.1,17.4,15.4,5.7,15.6,20.5,26.8,23.1,7.4,17,16.2,6.7,4.6,16.6,,,,,,,,,
Mustansiriyah University,Iraq,>30000 Students,Fully Comprehensive,High,50-99 Years,3.2,4.5,36.3,1.2,23.6,5.2,13,42.4,3,5.7,29,1.2,3.6,4.2,,,,,,,,,
Mutah University,Jordan,5000-12000 Students,Fully Comprehensive,Medium,25-49 Years,5.8,5.1,9.4,1.6,10.7,51.9,7.5,20.3,4.6,4.6,8.3,1.5,2.8,40.8,,,,,,,,,
Nagoya Institute of Technology (NIT),Japan,5000-12000 Students,Specialist,Very High,10-24 Years,5.3,2.5,6.5,18,6.1,5,21.7,13.3,5.4,3.2,5.9,22.1,2,5.3,,,,,,,,,
National Taiwan Ocean University,Taiwan,5000-12000 Students,Focused,Very High,25-49 Years,5,2.7,13.4,10,4.7,9.2,21.5,6.5,5.4,2.6,15,11.9,1.7,8.3,18.5,29.9,21.5,17.1,52.8,20.7,8652,21.6,0.09
National University of Kyiv-Mohyla Academy (NaUKMA),Ukraine,<5000 Students,Focused,High,100+ Years,4.9,11.1,36.5,1.1,2.4,1.5,4.7,30.5,4.8,11.1,32.7,1.3,1.2,1.4,,,,,,,,,
North South University,Bangladesh,12000-30000 Students,Comprehensive,Medium,25-49 Years,10.4,37.2,5.2,1.9,14.2,2.6,11.2,26.8,10.9,32.7,4.7,1.7,4.9,2.7,,,,,,,,,
North-West University,South Africa,>30000 Students,Comprehensive,Very High,10-24 Years,7,8.5,6.5,12.6,5,2.8,89.3,16.3,6.6,9.1,8.2,10.3,1.5,3.2,20.1,43.3,17.1,69.9,41.1,36.4,36749,29.9,0.04
Ohio University,United States,12000-30000 Students,Fully Comprehensive,High,100+ Years,8.5,12.1,6,15.6,6.1,4.3,44.8,23.6,9.2,12.7,6.4,18,2,4.5,,,,,,,,,
Paul Valéry University Montpellier,France,12000-30000 Students,Focused,Very High,100+ Years,12.1,2,3.2,3.3,6,37.2,48.9,2.8,12.8,2.5,3.8,1.5,2,39.1,,,,,,,,,
Rochester Institute of Technology (RIT),United States,12000-30000 Students,Comprehensive,High,100+ Years,4.6,6.9,22.8,8.3,5.7,18.2,46.3,26.8,4.9,7.6,23.1,9.2,1.9,19.9,,,,,,,,,
Saitama University,Japan,5000-12000 Students,Comprehensive,Very High,50-99 Years,3.6,2.1,15.3,20.6,11.3,6.9,28.7,9.4,3.5,2.1,17.4,21.2,3.9,6.9,19.1,31.7,13,22.8,36.4,19.8,8579,14.3,0.05
San Diego State University,United States,>30000 Students,Comprehensive,Very High,100+ Years,4.4,3.9,3.2,20.9,5.5,5.5,72.7,28.7,4.6,4.2,3.5,23.4,1.8,7.8,23.7,33.9,24.4,62,35.1,36.4,30799,30.5,0.08
Seattle University,United States,5000-12000 Students,Comprehensive,High,50-99 Years,4.6,3.9,33.5,3.3,1.5,12.6,6.9,13.5,5,4.3,35.9,3.2,1,17.9,,,,,,,,,
Seoul National University of Science and Technology,South Korea,5000-12000 Students,Focused,Very High,25-49 Years,5.7,3.5,9.5,9.9,11,14,11.6,6.3,6.3,3.7,8.3,11.4,2.8,7.5,,,,,,,,,
Shahid Beheshti University (SBU),"Iran, Islamic Republic of",12000-30000 Students,Focused,Very High,50-99 Years,8.5,7.3,4.4,25.8,1.7,1.8,53.5,23.2,8.2,6.4,4.7,23.7,1.1,1.9,,,,,,,,,
Shanghai International Studies University,China (Mainland),12000-30000 Students,Specialist,Very High,25-49 Years,4.3,2.3,19.2,1.5,30,31.9,3.3,3.8,4.7,2.3,21.7,1.5,14.9,33.6,,,,,,,,,
Sheffield Hallam University,United Kingdom,12000-30000 Students,Comprehensive,High,25-49 Years,6.1,14.2,9.9,5.4,30.6,20.9,52.7,5.4,7.1,15.9,11.3,5.2,13.8,21,17.5,52.9,13.2,41.4,34.8,26.5,25119,17,0.13
Siksha 'O' Anusandhan (Deemed to be University),India,5000-12000 Students,Comprehensive,Very High,10-24 Years,2.7,2.5,41.2,4.2,1.7,2.1,6.2,7.9,3.1,2.3,41.9,3.8,1.1,2.1,,,,,,,,,
Silesian University of Technology,Poland,12000-30000 Students,Focused,Very High,25-49 Years,5,3.9,28.4,6.1,2,2.5,34.5,21.8,4.9,4.4,35.2,6,1.1,2,16.4,16,9.3,31.7,36.9,19.3,20646,12.6,0.01
        Sookmyung Women's University ,South Korea,12000-30000 Students,Focused,Very High,50-99 Years,3.6,5.2,21.1,5,6.4,1.9,3.7,5.9,3.7,5,25.2,4.4,2.2,1.7,,,,,,,,,
Taibah University,Saudi Arabia,5000-12000 Students,Comprehensive,High,50-99 Years,4.1,1.7,4.6,2.8,99.1,2.5,41.5,3.7,4.2,1.7,5.5,2.5,99.5,2.7,,,,,,,,,
Tallinn University ,Estonia,>30000 Students,Fully Comprehensive,High,10-24 Years,8.5,5.3,6.5,8.9,47.6,16.9,30.8,96.3,8.2,7.4,8.1,11.6,24,23.7,,,,,,,,,
Technical University of Lublin,Poland,5000-12000 Students,Focused,Very High,10-24 Years,4.2,1.4,25.8,3.3,,12.5,15.9,6.4,4,1.6,19.4,5.8,,13.2,,,,,,,,,
Telkom University,Indonesia,5000-12000 Students,Focused,Very High,10-24 Years,5.7,7.6,25.2,1.4,15.4,2.4,4.8,29.6,5,6.2,24,1.3,4.8,2.4,,,,,,,,,
Texas Tech University,United States,12000-30000 Students,Focused,Very High,1-9 Years,10.1,14.2,6.3,14.7,15.2,6,71.2,18,10.8,15.2,6.7,17.7,5.7,7.6,30.8,48.4,20.9,46.5,36.2,34,33015,20.6,0.09
Thapar Institute of Engineering & Technology,India,>30000 Students,Fully Comprehensive,High,50-99 Years,2.2,3.2,7.5,39.2,5.2,1.7,33.4,14.3,1.9,3.5,8.7,34.3,1.9,1.9,,,,,,,,,
The Herzen State Pedagogical University of Russia,Russia,5000-12000 Students,Focused,Very High,50-99 Years,3.5,1.9,27,1.2,1.6,41.4,10.6,3.7,3.4,1.9,29.8,1.2,1.1,44.3,,,,,,,,,
The Josip Juraj Strossmayer University of Osijek,Croatia,12000-30000 Students,Focused,High,100+ Years,3.3,,32.5,2.8,,,44.1,71.4,3.3,1.3,34.8,2.7,,,,,,,,,,,
"The National Research University ""Belgorod State University""",Russia,12000-30000 Students,Comprehensive,High,25-49 Years,3,1.3,23.5,2.1,2.6,49.4,9.1,4.3,3.3,1.1,29.3,2.3,1.2,46.9,,,,,,,,,
The University of Alabama,United States,5000-12000 Students,Focused,Very High,100+ Years,8.7,26.6,5.7,13.8,5.8,3.3,44.8,15.4,9.4,27.7,6,14.5,1.8,4,,,,,,,,,
The University of Lahore,Pakistan,>30000 Students,Comprehensive,Very High,100+ Years,8.2,16,14.4,2,2.9,2.2,25.9,12.6,8.3,12.7,14.8,1.7,1.3,2.3,,,,,,,,,
The University of Northampton,United Kingdom,>30000 Students,Focused,High,10-24 Years,3,2.8,7.1,3.3,40,93.6,8.8,2.4,3.4,3.2,9,3.5,24.2,89.4,,,,,,,,,
Tokai University,Japan,5000-12000 Students,Comprehensive,High,10-24 Years,10.1,6.9,15.7,3.3,6.7,3.5,27.6,4.5,11.2,7.5,17.1,3.6,2.2,3.6,18.9,23.4,9.7,20.8,36.8,17.5,29848,13,0.02
Tomas Bata University in Zlin,Czech Republic,12000-30000 Students,Fully Comprehensive,High,10-24 Years,3.7,10.5,12.4,6.5,21.1,18.1,25.5,13.3,4,10.8,16.7,7.8,7.8,22.5,,,,,,,,,
Ton Duc Thang University,Vietnam,5000-12000 Students,Comprehensive,Very High,10-24 Years,5.5,8.5,6.4,16,34.7,1.8,91.3,22.7,6.2,7.1,8.4,6.6,46.1,1.9,,,,,,,,,
Universidad Andrés Bello,Chile,12000-30000 Students,Focused,Very High,25-49 Years,9.8,15.4,6,2.9,8,2.2,45.7,4.3,9.2,15.6,5.7,2.7,2.7,2,,,,,,,,,
Universidad Austral de Chile,Chile,>30000 Students,Fully Comprehensive,High,25-49 Years,15.5,11.6,3.8,6.7,17.5,2.1,55,4,15.3,14.2,3.9,7,6.7,2.2,,,,,,,,,
Universidad Autónoma de Nuevo León,Mexico,12000-30000 Students,Fully Comprehensive,High,50-99 Years,15.2,15.9,2.5,1.8,3.3,1.2,38,18.1,16.1,18.1,3,1.9,1.4,1.2,,,,,,,,,
Universidad de Castilla-La Mancha,Spain,>30000 Students,Fully Comprehensive,High,50-99 Years,8.4,2,16.9,9.6,2.2,5.1,59.3,4.7,8.4,2.1,18.3,11,1.2,4.4,,,,,,,,,
Universidad de Córdoba - Colombia,Colombia,12000-30000 Students,Fully Comprehensive,High,25-49 Years,16.7,4,2.9,1.5,,,5.1,8.7,15.9,3.9,2.9,1.6,,,,,,,,,,,
Universidad de Lima,Peru,12000-30000 Students,Comprehensive,Medium,50-99 Years,9.9,33,4.2,1.1,4.6,2.1,2.1,12.5,9.5,36.4,5,1,1.7,2.2,,,,,,,,,
Universidad de Monterrey (UDEM),Mexico,12000-30000 Students,Focused,Medium,50-99 Years,11.5,12,12.6,1.5,12.4,1.9,4.9,16.6,11.2,13.8,12.1,1.4,4.1,1.9,,,,,,,,,
Universidad de Oviedo,Spain,5000-12000 Students,Focused,High,50-99 Years,11.3,2.5,11.9,14,,,67.9,4.6,11.6,3.1,10.6,31.2,,,,,,,,,,,
Universidad de Talca,Chile,12000-30000 Students,Comprehensive,Very High,100+ Years,10.2,9.6,6.7,5.3,24.2,1.5,32.5,4.9,10.3,12.1,6.3,5.9,9.4,1.4,,,,,,,,,
Universidad de Valparaíso (UV),Chile,5000-12000 Students,Focused,Very High,25-49 Years,10,8.9,8.8,3.6,7.4,1.6,28.3,8.3,9.6,10.1,10.7,3.3,2.5,1.6,,,,,,,,,
Universidad del Norte ,Colombia,12000-30000 Students,Fully Comprehensive,Medium,25-49 Years,9.3,28.3,12.9,2.5,10.8,1.3,18.2,4.3,9,29.6,12.2,2.4,3.9,1.3,,,,,,,,,
Universidad del Pacífico,Peru,12000-30000 Students,Fully Comprehensive,Medium,50-99 Years,7.1,35.9,4.2,2.7,14.3,1.3,4,23.5,7.8,38.2,4.2,2.4,4.9,1.3,,,,,,,,,
Universidad Industrial de Santander - UIS,Colombia,<5000 Students,Specialist,Low,50-99 Years,10.2,26.1,5.4,2.4,5.8,1.3,21,15.3,10.1,30.3,5.2,2.9,1.9,1.4,,,,,,,,,
Universidad Nacional Agraria la Molina,Peru,12000-30000 Students,Fully Comprehensive,Medium,50-99 Years,6.1,9.9,18.7,1.5,5.5,2.4,11.3,16.2,6.6,11.3,20.3,1.5,1.9,2.5,,,,,,,,,
Universidad Nacional de Cuyo,Argentina,5000-12000 Students,Focused,High,100+ Years,12.2,6.8,19.6,1.7,2,16.8,37.9,3.4,12.1,7.6,17.8,1.6,1.1,16.4,,,,,,,,,
Universidad Nacional de la Asunción,Paraguay,>30000 Students,Fully Comprehensive,Medium,50-99 Years,5.7,10.3,26,1.1,6.7,2,21,29.5,5.7,6.9,22.6,1.1,,1.6,,,,,,,,,
Universidad Nacional de Río Cuarto - UNRC,Argentina,>30000 Students,Fully Comprehensive,Medium,100+ Years,4.6,1.4,37.4,1.5,,,9.6,3.9,4.8,1.1,39.9,1.6,,,,,,,,,,,
"Universidad Nacional, Costa Rica",Costa Rica,12000-30000 Students,Comprehensive,Medium,50-99 Years,9.3,21,15.1,1.5,11.5,2.8,19.2,62,9.6,22.6,17.9,1.5,3.8,2.9,,,,,,,,,
Universidad Peruana de Ciencias Aplicadas,Peru,12000-30000 Students,Comprehensive,Medium,25-49 Years,9.2,29.3,4,1.1,14.4,2.1,5.3,17.1,7.8,30,4.8,1.2,4.4,2.4,,,,,,,,,
Universidad Rey Juan Carlos,Spain,>30000 Students,Comprehensive,Medium,25-49 Years,7.2,9.3,6,4.5,16,17.5,51.7,5.4,7.3,10.2,5.7,4.5,4,18.6,,,,,,,,,
Universidad Técnica Federico Santa María (USM),Chile,>30000 Students,Comprehensive,High,25-49 Years,10.4,38,4.7,5.6,11.3,2.2,47.7,8.1,10.5,42.9,4.8,5.7,4.8,4.3,,,,,,,,,
Universidad Tecnológica de Panamá (UTP),Panama,12000-30000 Students,Focused,Very High,50-99 Years,8.8,20.1,22.3,1,2.9,4.7,4.4,1,7.6,27.5,26.8,1,1.4,5,,,,,,,,,
Universidade da Coruña ,Spain,12000-30000 Students,Comprehensive,Medium,25-49 Years,5,5.8,26,7.7,2,4.8,52.6,5,5.4,6.1,29.6,9,1.3,5.2,,,,,,,,,
Universidade de Vigo,Spain,12000-30000 Students,Comprehensive,Very High,25-49 Years,7.8,4.5,10,15.6,2.6,4.3,77.3,5.4,7,5,11,17.8,1.2,4,,,,,,,,,
Universidade do Estado do Rio de Janeiro (UERJ),Brazil,12000-30000 Students,Comprehensive,Very High,25-49 Years,8.7,4.6,16.6,3.2,4.2,1.2,30.9,11.5,9.1,5.8,18,3.4,1.6,1.2,,,,,,,,,
Universidade Federal de Juiz de Fora- (UFJF),Brazil,>30000 Students,Fully Comprehensive,High,50-99 Years,3.4,2.3,34.2,3.2,,,25.1,4.2,3.5,3,35.7,3.1,,,,,,,,,,,
Universidade Federal de Pelotas ,Brazil,12000-30000 Students,Comprehensive,High,50-99 Years,4.5,1.3,29.5,5.5,,1.4,23.3,6.3,3.5,1.4,30.9,6.1,,,,,,,,,,,
Universidade Federal de Pernambuco (UFPE) ,Brazil,12000-30000 Students,Comprehensive,Very High,50-99 Years,12.3,2.8,21.7,3.8,1.8,1.3,42.5,6.8,12.6,3.1,23.4,3.8,1.1,1.4,,,,,,,,,
Università degli Studi della Tuscia (University of Tuscia),Italy,>30000 Students,Fully Comprehensive,High,50-99 Years,3,1.1,6.6,31.2,11.4,5.1,42.2,5.1,3.1,1,8.1,24.4,3.4,5.1,,,,,,,,,
Università degli Studi di Udine,Italy,5000-12000 Students,Comprehensive,Very High,25-49 Years,6.5,3.2,9.7,22.4,5.5,4.3,50,4,6.9,3.8,11.2,28.7,1.7,5.1,,,,,,,,,
Universitas Hasanuddin,Indonesia,12000-30000 Students,Comprehensive,Very High,25-49 Years,10.3,7,12.5,1.4,5.6,2.5,14.8,6.9,10.1,5.6,11.1,1.4,2.3,1.9,,,,,,,,,
Universitas Sebelas Maret,Indonesia,>30000 Students,Fully Comprehensive,High,50-99 Years,8.8,7.2,12.4,1.5,11.6,1.9,5.4,5.6,7.4,5.6,11.2,1.4,3.4,1.5,,,,,,,,,
Universität Siegen,Germany,12000-30000 Students,Fully Comprehensive,High,25-49 Years,4.1,2.1,11.2,5.5,40.2,20.7,40.2,9.7,4.1,2.2,10.5,6.5,16.6,20.6,,,,,,,,,
Université de Poitiers,France,12000-30000 Students,Comprehensive,High,50-99 Years,8,2.5,5.3,7.4,,31.3,67.8,7.8,9,2.5,5.6,8.9,,33,,,,,,,,,
Université de Toulouse II-Le Mirail,France,12000-30000 Students,Comprehensive,Very High,100+ Years,10.1,2.2,1.3,4.4,30.3,23.5,45.1,5,10.9,2.4,1.1,3.5,15.2,24.9,,,,,,,,,
Université Lumière Lyon 2,France,>30000 Students,Focused,High,100+ Years,11.2,2,7.4,5.5,29.7,32.7,60.1,5.2,12,2.1,10,3.5,12.8,20.4,,,,,,,,,
Université Toulouse 1 Capitole,France,12000-30000 Students,Specialist,Very High,25-49 Years,13.2,3.3,1.6,2.5,31.3,54.9,10,5.4,14.3,4.1,1.4,2.3,16.2,57.1,,,,,,,,,
Universiti Kuala Lumpur (UniKL),Malaysia,12000-30000 Students,Focused,Medium,100+ Years,6.3,5.4,31.6,2,7.7,3.7,15.9,7,7.3,5.7,38.6,2.1,2.3,3.7,,,,,,,,,
Universiti Malaysia Sabah (UMS),Malaysia,12000-30000 Students,Fully Comprehensive,Medium,10-24 Years,13.1,9.2,7.5,3.6,12.9,9.1,25.9,6.8,14.5,9.7,7.3,3.8,5.5,4.4,,,,,,,,,
                     Universiti Malaysia Sarawak (UNIMAS),Malaysia,12000-30000 Students,Fully Comprehensive,High,25-49 Years,11.4,7.8,10.8,3.2,35.7,7.5,15.3,5.9,11.6,8,13.5,3.3,19.7,7.9,17.8,39.5,8.5,10.2,34.7,14.8,15973,18.8,0.06
Universiti Malaysia Terengganu (UMT),Malaysia,12000-30000 Students,Fully Comprehensive,Medium,25-49 Years,9.1,4.1,13.6,7.2,13.4,6.7,41.5,7,9,4.6,12.7,6.2,4.8,6.1,,,,,,,,,
"University of Agriculture, Faisalabad ",Pakistan,5000-12000 Students,Focused,Very High,10-24 Years,5.1,10.2,1.8,34.1,4.1,1.2,45,10.9,5.2,8.8,1.6,27.3,1.6,1.1,,,,,,,,,
University of Arkansas Fayetteville ,United States,12000-30000 Students,Comprehensive,Very High,50-99 Years,6.9,6,6.9,12.7,6.3,4.6,61.8,9.7,7.6,6.5,7.2,12.4,2.1,4.8,,,,,,,,,
University of Belgrade,Serbia,12000-30000 Students,Focused,Very High,100+ Years,17.2,6.9,4.2,5.8,3.3,4.9,94.5,64.3,16.7,9.1,3.9,6.5,1.4,5.1,,,,,,,,,
University of Bialystok,Poland,>30000 Students,Fully Comprehensive,Very High,100+ Years,5.1,3.2,30.3,2.5,,5.8,33.1,6,4.8,2.6,32.5,2.9,,6.1,,,,,,,,,
University of Bucharest,Romania,5000-12000 Students,Focused,Very High,25-49 Years,14.6,11.4,7.7,4.1,2.8,2.4,66.3,37.8,16.8,7.8,8.8,4.1,1.2,2.5,18.2,27.4,10.6,15.1,36.2,16.1,30192,17.5,0.02
University of Calabria,Italy,>30000 Students,Focused,Very High,100+ Years,4.8,1.8,3.5,25,8,4.2,85.1,3.5,5,1.8,3.3,28.7,2.5,3.6,17.6,38.3,17.5,59.8,87.9,33.5,27403,33,0.02
University of Derby,United Kingdom,12000-30000 Students,Comprehensive,Very High,50-99 Years,3.8,4.6,11.3,4.2,27.9,42.4,39.3,5.3,3.5,5.5,14.3,4,14.1,41.7,16.2,58.8,10.3,32,35.1,22.8,13502,15.2,0.13
University of Kufa,Iraq,12000-30000 Students,Comprehensive,High,25-49 Years,3.6,8.4,33,1.3,5.3,1.1,11.8,45.5,4.4,10.6,35.3,1.3,1.8,1.1,,,,,,,,,
University of Latvia,Latvia,12000-30000 Students,Fully Comprehensive,Medium,25-49 Years,12.5,14.5,4.8,8.2,16.3,7.5,63.7,90.4,12,13.9,5.3,9.5,6.2,8.9,17,48.9,19.3,24.4,41.6,22.9,12367,33.1,0.06
University of Miskolc ,Hungary,12000-30000 Students,Fully Comprehensive,High,100+ Years,5.8,5.3,22.1,2.2,4.8,6,22.1,20.7,5.8,6.4,27.7,2.2,1.6,5.9,,,,,,,,,
"University of Missouri, Kansas City",United States,5000-12000 Students,Comprehensive,High,100+ Years,4.5,5.4,18.7,14.4,3.9,8,24.7,11.6,5.3,6.5,23.4,16.2,1.6,10.2,,,,,,,,,
